Serial,Bin,X,Y,X_old,Y_old,VTH,GET VTH <1.5V,GET VTH >6V,VFSD,BVDSS_2,BVDSS_1,BVDSS bin2,Delta3,IPD_10V,IDSS1,IDSS2,IDSS3,Wafer_ID
50,2,4,3,50,0,2.307,2.3,2.307,0.5044,21.74,21.279,21.276,0.461,31.782,0.03,0.029,0.032,15
51,2,4,2,51,0,2.343,2.3,2.343,0.5919,21.809,21.28,21.275,0.529,31.731,0.03,0.029,0.032,15
52,2,4,1,52,0,2.252,2.2,2.252,0.5022,21.772,21.327,21.323,0.445,31.773,0.029,0.027,0.03,15
53,2,5,13,53,0,2.286,2.2,2.286,0.5203,21.614,21.076,21.075,0.538,31.616,0.03,0.029,0.032,15
54,2,5,12,54,0,2.273,2.2,2.273,0.5174,21.462,21.049,21.046,0.413,31.4,0.032,0.03,0.035,15
55,2,5,11,55,0,2.263,2.2,2.263,0.4991,21.321,21.035,21.031,0.286,31.477,0.03,0.029,0.032,15
56,2,5,10,56,0,0.003,0,0.003,0.4977,21.446,21.082,21.077,0.364,49.998,0.027,0.11,0.32,15
57,2,5,9,57,0,2.318,2.3,2.318,0.5039,21.625,21.169,21.169,0.456,31.477,0.029,0.027,0.03,15
58,2,5,8,58,0,2.317,2.3,2.317,0.5002,21.542,21.256,21.256,0.286,31.044,0.03,0.027,0.03,15
59,2,5,7,59,0,2.334,2.3,2.334,0.5026,21.764,21.358,21.356,0.406,31.255,0.029,0.029,0.032,15
60,2,5,6,60,0,2.286,2.2,2.286,0.6113,22.192,21.24,21.24,0.952,30.795,0.03,0.029,0.033,15
61,2,5,5,61,0,2.271,2.2,2.271,0.5339,21.875,21.145,21.147,0.73,31.032,0.03,0.029,0.032,15
62,2,5,4,62,0,2.304,2.3,2.304,0.5065,21.57,21.119,21.117,0.451,31.784,0.029,0.029,0.035,15
63,2,5,3,63,0,2.273,2.2,2.273,0.5055,21.601,21.096,21.092,0.505,31.337,0.03,0.027,0.032,15
64,2,5,2,64,0,2.275,2.2,2.275,0.5113,21.742,21.245,21.243,0.497,30.982,0.032,0.029,0.033,15
65,2,5,1,65,0,2.251,2.2,2.251,0.5052,21.721,21.211,21.209,0.51,31.472,0.032,0.038,0.05,15
66,2,6,13,66,0,2.363,2.3,2.363,0.5406,22.181,21.589,21.585,0.592,30.82,0.03,0.027,0.03,15
67,2,6,12,67,0,2.297,2.2,2.297,0.5034,21.715,21.247,21.243,0.468,30.982,0.03,0.029,0.033,15
68,2,6,11,68,0,2.306,2.3,2.306,0.5299,21.77,21.145,21.143,0.625,31.666,0.029,0.027,0.03,15
69,2,6,10,69,0,2.276,2.2,2.276,0.5034,21.549,21.12,21.118,0.429,31.587,0.029,0.03,0.042,15
70,2,6,9,70,0,0.003,0,0.003,0.5019,21.487,21.128,21.125,0.359,49.998,0,0.001,0.003,15
71,2,6,8,71,0,0.007,0,0.007,0.5358,21.665,21.173,21.173,0.492,49.998,0,0.001,0.003,15
72,2,6,7,72,0,0.001,0,0.001,0.4953,21.548,21.224,21.22,0.324,49.998,0.004,0.018,0.036,15
73,2,6,6,73,0,2.35,2.3,2.35,0.5002,21.598,21.333,21.33,0.265,31.169,0.029,0.027,0.032,15
74,2,6,5,74,0,2.315,2.3,2.315,0.572,21.954,21.216,21.213,0.738,31.502,0.029,0.027,0.03,15
75,2,6,4,75,0,0.003,0,0.003,0.4927,21.459,21.238,21.237,0.221,49.998,0.001,0.004,0.007,15
76,2,6,3,76,0,2.345,2.3,2.345,0.5164,21.945,21.386,21.383,0.559,30.313,0.033,0.029,0.035,15
77,2,6,2,77,0,2.38,2.3,2.38,0.517,22.236,21.561,21.556,0.675,30.685,0.03,0.032,0.038,15
78,2,6,1,78,0,2.437,2.4,2.437,0.5204,22.198,21.598,21.591,0.6,31.34,0.029,0.026,0.03,15
79,2,7,13,79,0,2.358,2.3,2.358,0.5039,21.861,21.53,21.523,0.331,30.641,0.029,0.027,0.03,15
80,2,7,12,80,0,2.244,2.2,2.244,0.5012,21.59,21.207,21.202,0.383,30.631,0.032,0.03,0.035,15
81,2,7,11,81,0,2.255,2.2,2.255,0.5364,21.703,21.183,21.179,0.52,30.833,0.032,0.029,0.033,15
82,2,7,10,82,0,2.31,2.3,2.31,0.5068,21.66,21.125,21.123,0.535,32.019,0.029,0.027,0.03,15
83,2,7,9,83,0,0.004,0,0.004,0.4968,21.47,21.085,21.085,0.385,49.998,0,0,0.001,15
84,2,7,8,84,0,2.226,2.2,2.226,0.5059,21.542,21.096,21.094,0.446,32.09,0.029,0.027,0.03,15
85,2,7,7,85,0,2.186,2.1,2.186,0.4988,21.927,21.509,21.503,0.418,30.937,0.029,0.027,0.032,15
86,2,7,6,86,0,2.202,2.2,2.202,0.5075,21.868,21.366,21.365,0.502,30.942,0.032,0.029,0.032,15
87,2,7,5,87,0,2.242,2.2,2.242,0.5215,22.28,21.373,21.37,0.907,23.861,0.024,0.029,0.032,15
88,2,7,4,88,0,2.23,2.2,2.23,0.5081,21.885,21.295,21.294,0.59,31.822,0.027,0.027,0.03,15
