Serial,Bin,X,Y,X_old,Y_old,VTH,GET VTH <1.5V,GET VTH >6V,VFSD,BVDSS_2,BVDSS_1,BVDSS bin2,Delta3,IPD_10V,IDSS1,IDSS2,IDSS3,Wafer_ID
851,2,2,9,18,0,2.247,2.2,2.247,0.5028,21.406,20.954,20.954,0.452,31.233,0.033,0.03,0.035,24
852,2,2,8,19,0,2.301,2.3,2.301,0.5122,21.515,21.001,21.002,0.514,31.541,0.036,0.044,0.058,24
853,2,2,7,20,0,2.318,2.3,2.318,0.4994,21.175,20.917,20.918,0.258,31.596,0.032,0.03,0.035,24
854,2,2,6,21,0,2.298,2.2,2.298,0.4997,21.273,20.92,20.92,0.353,31.439,0.033,0.036,0.052,24
855,2,2,5,22,0,2.331,2.3,2.331,0.5133,21.637,21.074,21.073,0.563,31.59,0.032,0.03,0.033,24
856,2,2,4,23,0,2.309,2.3,2.309,0.515,21.629,21.041,21.04,0.588,31.683,0.032,0.03,0.035,24
857,2,2,3,24,0,2.307,2.3,2.307,0.4988,21.283,20.989,20.99,0.294,31.643,0.032,0.03,0.035,24
858,2,2,2,25,0,2.307,2.3,2.307,0.4986,21.292,21.002,21.002,0.29,31.537,0.033,0.03,0.035,24
859,2,2,1,26,0,2.251,2.2,2.251,0.5048,21.459,20.959,20.958,0.5,31.538,0.032,0.03,0.035,24
860,1,3,13,27,0,2.288,2.2,2.288,0.4974,21.128,20.867,20.866,0.261,30.679,0.033,0.032,0.035,24
861,1,3,12,28,0,2.269,2.2,2.269,0.5034,21.267,20.831,20.833,0.436,31.045,0.033,0.03,0.035,24
862,2,3,11,29,0,2.275,2.2,2.275,0.5514,21.532,20.917,20.919,0.615,31.335,0.032,0.029,0.033,24
863,1,3,10,30,0,2.23,2.2,2.23,0.5098,21.408,20.857,20.857,0.551,31.384,0.032,0.029,0.033,24
864,1,3,9,31,0,2.263,2.2,2.263,0.5006,21.153,20.799,20.796,0.354,31.195,0.032,0.03,0.033,24
865,2,3,8,32,0,2.343,2.3,2.343,0.509,21.562,21.015,21.013,0.547,31.531,0.033,0.03,0.035,24
866,2,3,7,33,0,2.365,2.3,2.365,0.5064,21.576,21.035,21.032,0.541,31.637,0.032,0.03,0.035,24
867,2,3,6,34,0,2.373,2.3,2.373,0.5038,21.395,20.992,20.989,0.403,31.514,0.033,0.03,0.035,24
868,2,3,5,35,0,2.345,2.3,2.345,0.5235,21.528,21.062,21.062,0.466,31.83,0.032,0.029,0.033,24
869,1,3,4,36,0,2.297,2.2,2.297,0.5073,21.317,20.897,20.895,0.42,31.317,0.033,0.032,0.035,24
870,1,3,3,37,0,2.254,2.2,2.254,0.4982,21.076,20.826,20.823,0.25,31.454,0.032,0.03,0.035,24
871,1,3,2,38,0,2.294,2.2,2.294,0.4986,21.096,20.821,20.819,0.275,31.463,0.033,0.03,0.035,24
872,1,3,1,39,0,2.274,2.2,2.274,0.5088,21.237,20.809,20.809,0.428,31.28,0.033,0.035,0.041,24
873,2,4,13,40,0,2.244,2.2,2.244,0.5053,21.514,21.022,21.023,0.492,31.241,0.032,0.03,0.033,24
874,2,4,12,41,0,2.204,2.2,2.204,0.5061,21.499,21.077,21.076,0.422,30.861,0.032,0.03,0.035,24
875,2,4,11,42,0,2.202,2.2,2.202,0.5056,21.723,21.169,21.166,0.554,31.378,0.03,0.029,0.032,24
876,2,4,10,43,0,2.219,2.2,2.219,0.4985,21.642,21.324,21.321,0.318,30.679,0.032,0.029,0.033,24
877,2,4,9,44,0,2.261,2.2,2.261,0.5173,22.113,21.663,21.663,0.45,30.664,0.03,0.029,0.032,24
878,2,4,8,45,0,2.245,2.2,2.245,0.4997,21.271,20.928,20.926,0.343,30.828,0.035,0.033,0.036,24
879,2,4,7,46,0,2.319,2.3,2.319,0.5159,21.509,21.025,21.025,0.484,31.176,0.033,0.032,0.036,24
880,2,4,6,47,0,2.327,2.3,2.327,0.4999,21.301,20.991,20.992,0.31,31.714,0.033,0.03,0.033,24
881,2,4,5,48,0,2.58,2.5,2.58,0.683,21.666,21.039,21.038,0.627,31.439,0.033,0.03,0.035,24
882,2,4,4,49,0,2.345,2.3,2.345,0.5076,21.615,21.069,21.069,0.546,31.079,0.033,0.032,0.036,24
883,2,4,3,50,0,2.353,2.3,2.353,0.5105,21.475,21.063,21.065,0.412,31.381,0.033,0.03,0.035,24
884,2,4,2,51,0,2.368,2.3,2.368,0.7438,21.478,20.995,20.992,0.483,31.821,0.032,0.03,0.035,24
885,1,4,1,52,0,2.253,2.2,2.253,0.5078,21.287,20.781,20.78,0.506,31.554,0.033,0.03,0.033,24
886,2,5,13,53,0,2.401,2.4,2.401,0.5088,21.942,21.453,21.454,0.489,31.471,0.03,0.029,0.032,24
887,2,5,12,54,0,2.456,2.4,2.456,0.5375,21.999,21.528,21.524,0.471,31.599,0.03,0.027,0.03,24
888,2,5,11,55,0,2.468,2.4,2.468,0.5045,21.752,21.469,21.466,0.283,31.702,0.03,0.027,0.03,24
889,2,5,10,56,0,2.442,2.4,2.442,0.5093,21.92,21.497,21.494,0.423,31.723,0.03,0.027,0.03,24
890,2,5,9,57,0,2.458,2.4,2.458,0.5052,21.919,21.509,21.508,0.41,31.601,0.03,0.03,0.036,24
891,2,5,8,58,0,2.303,2.3,2.303,0.5002,21.785,21.504,21.504,0.281,31.264,0.03,0.027,0.03,24
892,2,5,7,59,0,2.294,2.2,2.294,0.5028,22.064,21.653,21.653,0.411,31.289,0.029,0.029,0.033,24
893,2,5,6,60,0,2.35,2.3,2.35,0.5071,22.358,21.871,21.869,0.487,30.444,0.03,0.027,0.032,24
894,2,5,5,61,0,2.392,2.3,2.392,0.5321,22.968,22.264,22.259,0.704,30.425,0.029,0.027,0.03,24
895,2,5,4,62,0,2.377,2.3,2.377,0.5278,22.728,22.15,22.144,0.578,29.739,0.032,0.029,0.032,24
896,2,5,3,63,0,2.34,2.3,2.34,0.505,22.288,21.831,21.825,0.457,30.082,0.032,0.029,0.033,24
897,2,5,2,64,0,2.272,2.2,2.272,0.5062,22.093,21.643,21.639,0.45,30.818,0.03,0.029,0.032,24
898,2,5,1,65,0,2.456,2.4,2.456,0.5099,22.07,21.524,21.523,0.546,31.622,0.03,0.027,0.032,24
899,1,6,13,66,0,2.246,2.2,2.246,0.5045,21.43,20.867,20.867,0.563,31.549,0.032,0.029,0.033,24
900,2,6,12,67,0,2.249,2.2,2.249,0.5256,21.529,20.956,20.954,0.573,30.705,0.033,0.032,0.035,24
901,2,6,11,68,0,2.224,2.2,2.224,0.5226,21.797,21.153,21.151,0.644,30.507,0.033,0.03,0.035,24
902,2,6,10,69,0,2.207,2.2,2.207,0.5011,21.514,21.141,21.138,0.373,31.067,0.03,0.029,0.033,24
903,2,6,9,70,0,2.179,2.1,2.179,0.5076,21.36,20.968,20.965,0.392,31.184,0.03,0.03,0.033,24
904,1,6,8,71,0,2.269,2.2,2.269,0.5125,21.433,20.89,20.888,0.543,31.475,0.03,0.029,0.033,24
905,2,6,7,72,0,2.309,2.3,2.309,0.4999,21.263,20.932,20.929,0.331,31.548,0.032,0.03,0.035,24
906,1,6,6,73,0,2.286,2.2,2.286,0.4985,21.126,20.866,20.864,0.26,31.219,0.033,0.032,0.035,24
907,1,6,5,74,0,2.258,2.2,2.258,0.5009,21.234,20.827,20.824,0.407,31.563,0.032,0.03,0.033,24
908,1,6,4,75,0,2.278,2.2,2.278,0.5016,21.211,20.812,20.811,0.399,31.477,0.032,0.03,0.033,24
909,1,6,3,76,0,2.233,2.2,2.233,0.5094,21.313,20.786,20.784,0.527,31.475,0.033,0.03,0.035,24
910,1,6,2,77,0,2.252,2.2,2.252,0.509,21.322,20.796,20.794,0.526,31.323,0.032,0.03,0.033,24
911,1,6,1,78,0,2.236,2.2,2.236,0.505,21.354,20.809,20.806,0.545,31.578,0.032,0.029,0.033,24
912,2,7,13,79,0,2.288,2.2,2.288,0.5011,21.263,20.981,20.98,0.282,31.291,0.032,0.03,0.033,24
913,2,7,12,80,0,2.411,2.4,2.411,0.5042,21.772,21.39,21.391,0.382,31.454,0.03,0.029,0.032,24
914,2,7,11,81,0,2.371,2.3,2.371,0.5094,21.791,21.338,21.339,0.453,31.543,0.03,0.027,0.032,24
915,2,7,10,82,0,2.387,2.3,2.387,0.5098,21.832,21.288,21.287,0.544,31.647,0.03,0.027,0.032,24
916,2,7,9,83,0,2.358,2.3,2.358,0.5085,21.679,21.234,21.234,0.445,31.497,0.029,0.027,0.032,24
917,2,7,8,84,0,2.356,2.3,2.356,0.505,21.661,21.249,21.249,0.412,31.355,0.03,0.027,0.03,24
918,2,7,7,85,0,2.391,2.3,2.391,0.5035,21.712,21.329,21.327,0.383,31.523,0.029,0.027,0.03,24
919,2,7,6,86,0,2.423,2.4,2.423,0.507,21.899,21.478,21.478,0.421,30.393,0.033,0.029,0.032,24
920,2,7,5,87,0,2.409,2.4,2.409,0.5193,22.356,21.452,21.451,0.904,24.018,0.024,0.027,0.03,24
921,2,7,4,88,0,2.442,2.4,2.442,0.533,22.108,21.448,21.45,0.66,31.805,0.029,0.027,0.032,24
922,2,7,3,89,0,2.417,2.4,2.417,0.5026,21.668,21.414,21.414,0.254,31.686,0.03,0.027,0.03,24
923,2,7,2,90,0,2.442,2.4,2.442,0.5075,21.965,21.469,21.469,0.496,31.569,0.03,0.027,0.032,24
924,2,7,1,91,0,2.461,2.4,2.461,0.5062,21.838,21.454,21.455,0.384,31.904,0.029,0.027,0.03,24
925,2,8,13,92,0,2.337,2.3,2.337,0.5019,21.807,21.459,21.454,0.348,31.279,0.03,0.029,0.032,24
926,2,8,12,93,0,2.344,2.3,2.344,0.5088,21.954,21.488,21.484,0.466,31.518,0.03,0.027,0.032,24
927,2,8,11,94,0,2.394,2.3,2.394,0.5147,21.958,21.496,21.495,0.462,31.27,0.03,0.029,0.032,24
928,2,8,10,95,0,2.43,2.4,2.43,0.5061,21.983,21.545,21.543,0.438,31.338,0.03,0.027,0.03,24
929,2,8,9,96,0,2.416,2.4,2.416,0.5042,21.856,21.504,21.504,0.352,31.622,0.03,0.027,0.032,24
930,2,8,8,97,0,2.462,2.4,2.462,0.5093,21.96,21.52,21.519,0.44,31.423,0.03,0.029,0.032,24
931,2,8,7,98,0,2.442,2.4,2.442,0.5023,21.795,21.465,21.465,0.33,31.437,0.03,0.029,0.032,24
932,2,8,6,99,0,2.301,2.3,2.301,0.517,22.069,21.54,21.538,0.529,31.119,0.03,0.029,0.032,24
933,2,8,5,100,0,2.296,2.2,2.296,0.502,22.066,21.615,21.61,0.451,31.229,0.03,0.029,0.032,24
934,2,8,4,101,0,2.346,2.3,2.346,0.5017,22.34,22.044,22.037,0.296,30.026,0.032,0.029,0.032,24
935,2,8,3,102,0,2.353,2.3,2.353,0.5026,22.453,22.158,22.154,0.295,30.158,0.03,0.027,0.032,24
936,2,8,2,103,0,2.273,2.2,2.273,0.5011,21.912,21.611,21.609,0.301,31.291,0.029,0.027,0.03,24
937,2,8,1,104,0,2.306,2.3,2.306,0.4996,22.126,21.845,21.839,0.281,30.416,0.032,0.029,0.032,24
938,2,9,13,105,0,2.324,2.3,2.324,0.5052,22.164,21.686,21.685,0.478,30.92,0.03,0.029,0.033,24
939,2,9,12,106,0,0.003,0,0.003,0.4997,22.117,21.756,21.751,0.361,49.998,0,0,0.001,24
940,2,9,11,107,0,2.435,2.4,2.435,0.5045,21.858,21.508,21.506,0.35,31.412,0.03,0.027,0.032,24
941,2,9,10,108,0,2.42,2.4,2.42,0.5081,21.934,21.465,21.46,0.469,31.499,0.03,0.029,0.032,24
942,2,9,9,109,0,2.413,2.4,2.413,0.507,21.938,21.471,21.468,0.467,31.351,0.03,0.029,0.032,24
943,2,9,8,110,0,2.42,2.4,2.42,0.5062,21.895,21.467,21.465,0.428,31.17,0.03,0.029,0.032,24
944,2,9,7,111,0,2.435,2.4,2.435,0.5036,21.778,21.466,21.466,0.312,31.347,0.03,0.029,0.033,24
945,2,9,6,112,0,2.416,2.4,2.416,0.5064,21.855,21.46,21.459,0.395,31.512,0.029,0.027,0.03,24
946,2,9,5,113,0,2.376,2.3,2.376,0.502,21.733,21.439,21.437,0.294,31.398,0.032,0.032,0.039,24
947,2,9,4,114,0,2.406,2.4,2.406,0.5042,21.918,21.633,21.625,0.285,30.032,0.032,0.029,0.032,24
948,2,9,3,115,0,2.445,2.4,2.445,0.5062,21.907,21.485,21.478,0.422,31.134,0.029,0.026,0.029,24
949,2,9,2,116,0,2.351,2.3,2.351,0.5068,21.97,21.504,21.503,0.466,31.326,0.029,0.027,0.03,24
950,2,9,1,117,0,2.444,2.4,2.444,0.5038,21.835,21.514,21.512,0.321,31.37,0.03,0.027,0.032,24
951,2,10,13,118,0,2.435,2.4,2.435,0.5154,21.932,21.503,21.499,0.429,31.364,0.03,0.029,0.033,24
952,2,10,12,119,0,2.461,2.4,2.461,0.5192,22.03,21.529,21.526,0.501,30.925,0.032,0.029,0.033,24
953,2,10,11,120,0,2.46,2.4,2.46,0.5041,21.778,21.467,21.459,0.311,31.351,0.03,0.027,0.032,24
954,2,10,10,121,0,2.482,2.4,2.482,0.5192,21.867,21.413,21.411,0.454,31.978,0.029,0.027,0.03,24
955,2,10,9,122,0,2.464,2.4,2.464,0.5044,21.814,21.424,21.421,0.39,31.456,0.03,0.029,0.032,24
956,2,10,7,124,0,2.429,2.4,2.429,0.5048,21.829,21.459,21.459,0.37,31.23,0.03,0.029,0.033,24
957,2,10,6,125,0,2.36,2.3,2.36,0.5247,21.746,21.261,21.26,0.485,30.588,0.032,0.03,0.033,24
958,2,10,5,126,0,2.357,2.3,2.357,0.5079,21.642,21.228,21.228,0.414,31.041,0.03,0.029,0.032,24
959,2,10,4,127,0,2.371,2.3,2.371,0.5728,21.733,21.301,21.301,0.432,31.531,0.03,0.027,0.03,24
960,2,10,3,128,0,2.412,2.4,2.412,0.5119,21.918,21.417,21.417,0.501,31.018,0.029,0.027,0.03,24
961,2,10,2,129,0,2.398,2.3,2.398,0.5035,21.71,21.344,21.344,0.366,30.834,0.03,0.029,0.032,24
962,2,10,1,130,0,2.372,2.3,2.372,0.5061,21.826,21.365,21.364,0.461,31.11,0.03,0.027,0.032,24
963,2,11,13,131,0,2.374,2.3,2.374,0.5118,22.111,21.548,21.548,0.563,31.627,0.029,0.027,0.03,24
964,2,11,12,132,0,2.363,2.3,2.363,0.5176,21.978,21.391,21.391,0.587,31.477,0.03,0.027,0.03,24
965,2,11,11,133,0,2.371,2.3,2.371,0.5022,21.803,21.498,21.495,0.305,30.911,0.03,0.029,0.032,24
966,2,11,10,134,0,2.339,2.3,2.339,0.541,22.273,21.649,21.643,0.624,30.422,0.032,0.03,0.033,24
967,2,11,9,135,0,2.431,2.4,2.431,0.509,21.85,21.463,21.463,0.387,30.836,0.032,0.03,0.033,24
968,2,11,8,136,0,2.449,2.4,2.449,0.5041,21.797,21.431,21.43,0.366,31.141,0.032,0.029,0.033,24
969,2,11,7,137,0,2.463,2.4,2.463,0.5179,21.899,21.388,21.385,0.511,31.79,0.03,0.029,0.033,24
970,2,11,6,138,0,2.454,2.4,2.454,0.5067,21.891,21.456,21.455,0.435,31.288,0.035,0.042,0.056,24
971,2,11,5,139,0,2.439,2.4,2.439,0.5047,21.788,21.441,21.439,0.347,30.723,0.032,0.03,0.033,24
972,2,11,4,140,0,2.372,2.3,2.372,0.5273,22.057,21.391,21.392,0.666,31.088,0.03,0.029,0.032,24
973,2,11,3,141,0,2.407,2.4,2.407,0.5031,21.737,21.4,21.402,0.337,30.789,0.032,0.03,0.033,24
974,2,11,2,142,0,2.411,2.4,2.411,0.5011,21.647,21.38,21.381,0.267,31.206,0.03,0.029,0.033,24
975,2,11,1,143,0,2.435,2.4,2.435,0.5068,21.886,21.433,21.43,0.453,31.699,0.03,0.027,0.032,24
976,2,12,13,144,0,2.442,2.4,2.442,0.5124,21.912,21.462,21.459,0.45,31.375,0.03,0.029,0.033,24
977,2,12,12,145,0,2.353,2.3,2.353,0.5305,22.021,21.4,21.401,0.621,31.15,0.03,0.029,0.032,24
978,2,12,11,146,0,2.376,2.3,2.376,0.5022,21.71,21.398,21.396,0.312,30.768,0.032,0.03,0.033,24
979,2,12,10,147,0,2.456,2.4,2.456,0.5139,21.942,21.473,21.474,0.469,31.617,0.03,0.027,0.032,24
980,2,12,9,148,0,2.417,2.4,2.417,0.5034,21.697,21.436,21.432,0.261,31.297,0.03,0.029,0.033,24
981,2,12,8,149,0,2.341,2.3,2.341,0.5034,22.105,21.776,21.776,0.329,30.709,0.03,0.027,0.032,24
982,2,12,7,150,0,2.418,2.4,2.418,0.5114,22.931,22.361,22.351,0.57,29.98,0.03,0.027,0.03,24
983,2,12,6,151,0,2.362,2.3,2.362,0.5073,22.668,22.225,22.222,0.443,30.149,0.03,0.027,0.03,24
984,2,12,5,152,0,2.343,2.3,2.343,0.5198,22.422,21.851,21.848,0.571,30.328,0.032,0.029,0.032,24
985,2,12,4,153,0,2.346,2.3,2.346,0.6147,22.225,21.675,21.671,0.55,31.11,0.029,0.027,0.03,24
986,2,12,3,154,0,2.337,2.3,2.337,0.5305,22.103,21.516,21.508,0.587,31.015,0.03,0.027,0.032,24
987,2,12,2,155,0,2.368,2.3,2.368,0.5082,21.928,21.464,21.462,0.464,31.338,0.029,0.029,0.03,24
988,2,12,1,156,0,2.458,2.4,2.458,0.5331,22.088,21.465,21.464,0.623,31.61,0.03,0.027,0.03,24
989,2,13,13,157,0,2.373,2.3,2.373,0.5334,21.896,21.409,21.408,0.487,31.256,0.032,0.029,0.033,24
990,2,13,12,158,0,2.377,2.3,2.377,0.5014,21.686,21.408,21.405,0.278,30.907,0.032,0.03,0.033,24
991,2,13,11,159,0,2.406,2.4,2.406,0.5249,22.053,21.456,21.456,0.597,31.193,0.03,0.029,0.033,24
992,2,13,10,160,0,2.405,2.4,2.405,0.5121,21.979,21.409,21.41,0.57,31.676,0.03,0.027,0.032,24
993,2,13,9,161,0,2.365,2.3,2.365,0.5121,21.958,21.39,21.39,0.568,30.825,0.032,0.03,0.033,24
994,2,13,8,162,0,2.346,2.3,2.346,0.5127,21.772,21.339,21.341,0.433,31.114,0.03,0.029,0.032,24
995,2,13,7,163,0,2.476,2.4,2.476,0.5127,22.286,21.826,21.82,0.46,31.104,0.027,0.026,0.03,24
996,2,13,6,164,0,2.464,2.4,2.464,0.5159,22.37,21.88,21.866,0.49,30.623,0.029,0.029,0.035,24
997,2,13,5,165,0,2.443,2.4,2.443,0.5114,22.134,21.671,21.664,0.463,31.346,0.027,0.026,0.029,24
998,2,13,4,166,0,2.365,2.3,2.365,0.5087,22.053,21.551,21.55,0.502,30.851,0.029,0.027,0.032,24
999,2,13,3,167,0,2.398,2.3,2.398,0.5026,21.745,21.428,21.428,0.317,30.667,0.03,0.027,0.032,24
1000,2,13,2,168,0,2.381,2.3,2.381,0.5006,21.656,21.381,21.381,0.275,31.318,0.029,0.027,0.03,24
1001,2,13,1,169,0,2.38,2.3,2.38,0.5062,21.822,21.357,21.354,0.465,31.599,0.029,0.027,0.03,24
1002,2,1,13,1,0,2.291,2.2,2.291,0.4994,21.586,21.257,21.253,0.329,31.775,0.03,0.03,0.036,4
1003,2,1,12,2,0,2.338,2.3,2.338,0.5009,21.599,21.311,21.31,0.288,31.488,0.03,0.029,0.032,4
1004,2,1,11,3,0,2.357,2.3,2.357,0.5034,21.671,21.296,21.295,0.375,31.699,0.03,0.027,0.032,4
1005,2,1,10,4,0,2.363,2.3,2.363,0.5042,21.62,21.253,21.256,0.367,31.752,0.03,0.029,0.033,4
1006,2,1,9,5,0,2.353,2.3,2.353,0.5053,21.669,21.259,21.258,0.41,31.811,0.03,0.027,0.032,4
1007,2,1,8,6,0,2.253,2.2,2.253,0.5028,21.736,21.295,21.29,0.441,31.377,0.03,0.029,0.032,4
1008,2,1,7,7,0,2.244,2.2,2.244,0.5053,21.762,21.276,21.274,0.486,31.571,0.03,0.027,0.032,4
1009,2,1,6,8,0,2.226,2.2,2.226,0.4985,21.523,21.246,21.242,0.277,31.423,0.03,0.029,0.032,4
1010,2,1,5,9,0,2.187,2.1,2.187,0.4982,21.629,21.293,21.288,0.336,31.101,0.03,0.029,0.032,4
1011,2,1,4,10,0,2.172,2.1,2.172,0.4968,21.619,21.338,21.334,0.281,31.232,0.03,0.027,0.032,4
1012,2,1,3,11,0,0.004,0,0.004,0.4877,21.818,21.526,21.516,0.292,49.998,0.001,0.006,0.012,4
1013,2,1,2,12,0,2.189,2.1,2.189,0.4993,22.202,21.916,21.914,0.286,30.867,0.027,0.027,0.033,4
1014,2,1,1,13,0,2.301,2.3,2.301,0.5003,21.648,21.317,21.314,0.331,31.697,0.033,0.036,0.046,4
1015,2,2,13,14,0,2.303,2.3,2.303,0.4996,21.542,21.283,21.282,0.259,31.729,0.03,0.027,0.03,4
1016,2,2,12,15,0,2.242,2.2,2.242,0.5035,21.408,20.969,20.968,0.439,30.992,0.032,0.029,0.032,4
1017,2,2,11,16,0,2.241,2.2,2.241,0.5281,21.581,21.018,21.018,0.563,31.306,0.03,0.029,0.032,4
1018,2,2,10,17,0,2.276,2.2,2.276,0.52,21.588,21.119,21.118,0.469,30.87,0.03,0.029,0.032,4
1019,2,2,9,18,0,2.215,2.2,2.215,0.5039,21.455,21.036,21.035,0.419,31.518,0.03,0.027,0.03,4
1020,2,2,8,19,0,2.246,2.2,2.246,0.5028,21.464,21.008,21.005,0.456,31.279,0.032,0.029,0.032,4
1021,2,2,7,20,0,2.256,2.2,2.256,0.4986,21.26,21.017,21.018,0.243,31.5,0.029,0.027,0.03,4
1022,2,2,6,21,0,2.279,2.2,2.279,0.5016,21.411,21.064,21.063,0.347,31.594,0.029,0.027,0.03,4
1023,2,2,5,22,0,2.2,2.2,2.2,0.5101,21.68,21.164,21.163,0.516,31.176,0.029,0.029,0.032,4
1024,2,2,4,23,0,2.239,2.2,2.239,0.5038,21.74,21.309,21.304,0.431,30.726,0.03,0.027,0.032,4
1025,2,2,3,24,0,2.254,2.2,2.254,0.502,21.601,21.294,21.288,0.307,30.211,0.032,0.03,0.033,4
1026,2,2,2,25,0,2.262,2.2,2.262,0.4999,21.36,21.07,21.069,0.29,31.802,0.029,0.027,0.03,4
1027,2,2,1,26,0,2.26,2.2,2.26,0.5025,21.53,21.136,21.132,0.394,31.584,0.03,0.027,0.03,4
1028,2,3,13,27,0,2.258,2.2,2.258,0.4994,21.306,21.029,21.03,0.277,31.886,0.029,0.027,0.03,4
1029,2,3,12,28,0,2.246,2.2,2.246,0.5022,21.417,20.994,20.992,0.423,31.344,0.029,0.029,0.032,4
1030,2,3,11,29,0,2.191,2.1,2.191,0.5108,21.899,21.33,21.327,0.569,30.702,0.03,0.029,0.032,4
1031,2,3,10,30,0,2.329,2.3,2.329,0.5073,21.918,21.331,21.328,0.587,31.093,0.032,0.029,0.032,4
1032,2,3,9,31,0,2.297,2.2,2.297,0.4993,21.636,21.265,21.263,0.371,31.485,0.03,0.029,0.032,4
1033,2,3,8,32,0,2.314,2.3,2.314,0.5249,21.938,21.317,21.313,0.621,31.802,0.029,0.027,0.03,4
1034,2,3,7,33,0,2.3,2.3,2.3,0.5061,21.832,21.333,21.332,0.499,31.172,0.03,0.029,0.033,4
1035,2,3,6,34,0,2.243,2.2,2.243,0.5036,21.735,21.278,21.276,0.457,30.902,0.032,0.03,0.035,4
1036,2,3,5,35,0,2.236,2.2,2.236,0.5041,21.725,21.266,21.263,0.459,31.3,0.03,0.029,0.032,4
1037,2,3,4,36,0,2.228,2.2,2.228,0.5059,21.712,21.276,21.275,0.436,30.82,0.032,0.029,0.032,4
1038,2,3,3,37,0,2.283,2.2,2.283,0.4991,21.419,21.144,21.144,0.275,31.477,0.03,0.029,0.032,4
1039,2,3,2,38,0,2.315,2.3,2.315,0.5005,21.525,21.189,21.188,0.336,31.933,0.029,0.027,0.032,4
1040,2,3,1,39,0,2.317,2.3,2.317,0.5171,21.716,21.268,21.268,0.448,31.357,0.041,0.065,0.102,4
1041,2,4,13,40,0,2.23,2.2,2.23,0.5174,22.556,21.952,21.948,0.604,31.05,0.027,0.026,0.029,4
1042,2,4,12,41,0,2.178,2.1,2.178,0.5056,22.008,21.579,21.578,0.429,31.111,0.029,0.027,0.03,4
1043,2,4,11,42,0,2.17,2.1,2.17,0.5142,22.032,21.409,21.406,0.623,31.039,0.03,0.027,0.03,4
1044,2,4,10,43,0,2.31,2.3,2.31,0.5016,21.6,21.234,21.237,0.366,31.785,0.029,0.027,0.03,4
1045,2,4,9,44,0,2.33,2.3,2.33,0.5122,21.743,21.24,21.242,0.503,31.742,0.029,0.027,0.03,4
1046,2,4,8,45,0,2.35,2.3,2.35,0.5002,21.528,21.235,21.234,0.293,32.051,0.029,0.027,0.03,4
1047,2,4,7,46,0,0.006,0,0.006,0.509,21.665,21.23,21.225,0.435,49.998,0,0.001,0.004,4
1048,2,4,6,47,0,2.348,2.3,2.348,0.5016,21.575,21.241,21.239,0.334,31.988,0.029,0.027,0.029,4
1049,2,4,5,48,0,2.326,2.3,2.326,0.7107,21.737,21.298,21.299,0.439,31.753,0.029,0.027,0.03,4
1050,2,4,4,49,0,2.241,2.2,2.241,0.513,21.794,21.257,21.254,0.537,31.343,0.029,0.027,0.03,4
1051,2,4,3,50,0,2.237,2.2,2.237,0.5098,21.667,21.222,21.221,0.445,31.545,0.029,0.027,0.03,4
1052,2,4,2,51,0,2.237,2.2,2.237,0.5017,21.687,21.225,21.223,0.462,31.577,0.029,0.027,0.03,4
1053,2,4,1,52,0,2.24,2.2,2.24,0.5048,21.716,21.218,21.217,0.498,31.521,0.029,0.027,0.03,4
1054,2,5,13,53,0,2.25,2.2,2.25,0.5023,21.421,20.97,20.968,0.451,31.685,0.03,0.029,0.033,4
1055,2,5,12,54,0,2.23,2.2,2.23,0.5058,21.348,20.956,20.957,0.392,31.604,0.029,0.027,0.03,4
1056,2,5,11,55,0,2.236,2.2,2.236,0.4988,21.263,20.973,20.971,0.29,31.725,0.029,0.027,0.03,4
1057,2,5,10,56,0,2.313,2.3,2.313,0.5032,21.582,21.171,21.17,0.411,31.959,0.029,0.027,0.03,4
1058,2,5,9,57,0,2.245,2.2,2.245,0.5003,21.468,21.095,21.095,0.373,31.509,0.029,0.029,0.03,4
1059,2,5,8,58,0,2.277,2.2,2.277,0.4993,21.41,21.14,21.14,0.27,31.454,0.03,0.027,0.032,4
1060,2,5,7,59,0,2.233,2.2,2.233,0.5005,21.487,21.116,21.113,0.371,31.767,0.03,0.03,0.039,4
1061,2,5,6,60,0,2.301,2.3,2.301,0.5151,21.609,21.145,21.141,0.464,31.756,0.029,0.027,0.03,4
1062,2,5,5,61,0,2.236,2.2,2.236,0.5346,21.785,21.028,21.027,0.757,31.535,0.03,0.027,0.03,4
1063,2,5,4,62,0,2.281,2.2,2.281,0.5383,21.556,21.081,21.079,0.475,31.614,0.029,0.026,0.03,4
1064,2,5,3,63,0,2.251,2.2,2.251,0.5059,21.697,21.221,21.22,0.476,31.215,0.029,0.027,0.03,4
1065,2,5,2,64,0,2.294,2.2,2.294,0.5148,21.909,21.423,21.418,0.486,30.525,0.029,0.027,0.03,4
1066,2,5,1,65,0,2.259,2.2,2.259,0.5075,21.859,21.378,21.378,0.481,30.897,0.029,0.027,0.03,4
1067,2,6,13,66,0,2.321,2.3,2.321,0.5461,22.183,21.51,21.502,0.673,31.494,0.027,0.026,0.03,4
1068,2,6,12,67,0,2.335,2.3,2.335,0.5047,21.685,21.243,21.241,0.442,31.406,0.032,0.032,0.038,4
1069,2,6,11,68,0,2.343,2.3,2.343,0.5187,21.917,21.311,21.307,0.606,31.515,0.049,0.073,0.102,4
